amfi_code,scheme_name,return_3yr_pct,sharpe_ratio,expense_ratio_pct,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score,return_score,sharpe_score,alpha_score,expense_score,drawdown_score
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,0.94,1.43,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.0,18.0,1.0,21.0,36.0,100.0,40.0,23.0,40.0,20.0,5.0
120843,Kotak Flexicap Fund - Regular - Growth,15.65,0.98,1.45,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,11.0,12.0,5.0,22.0,13.0,99.48717948717949,30.0,29.0,36.0,19.0,28.0
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,0.95,1.36,0.2926358334175106,0.000549004250631712,-0.18188513572116294,8.0,17.0,3.0,15.0,25.0,99.14529914529915,33.0,24.0,38.0,26.0,16.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.06,1.46,0.2698375144191807,0.023683558075848623,-0.11265729075028275,17.0,7.5,7.0,23.0,8.0,97.00854700854701,24.0,33.5,34.0,18.0,33.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,1.03,0.8,0.2119482701352573,0.016232169761417007,-0.12588275606922517,20.0,9.0,13.0,12.0,12.0,92.82051282051282,21.0,32.0,28.0,29.0,29.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,0.87,1.38,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,10.0,29.0,6.0,17.0,20.0,85.47008547008546,31.0,12.0,35.0,24.0,21.0
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.0,1.51,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,21.0,10.0,11.0,24.5,23.0,82.13675213675215,20.0,31.0,30.0,16.5,18.0
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.93,0.72,0.048824215945539845,0.06200180438267168,-0.5257422117012851,2.0,19.5,36.0,5.5,40.0,80.34188034188034,39.0,21.5,5.0,35.5,1.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,0.98,1.41,0.1625385327998104,0.04189646272811977,-0.1982565826298267,18.0,12.0,20.0,19.0,27.0,78.8034188034188,23.0,29.0,21.0,22.0,14.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.96,0.92,0.17729754927531766,0.04882040425957739,-0.15200013055606398,24.0,15.0,16.0,14.0,18.0,78.46153846153847,17.0,26.0,25.0,27.0,23.0
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,7.68,0.74,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,35.0,1.0,31.0,7.0,1.0,78.2905982905983,6.0,40.0,10.0,34.0,40.0
149323,DSP Midcap Fund - Regular - Growth,17.16,0.9,1.61,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,9.0,24.5,8.0,38.0,22.0,77.52136752136751,32.0,16.5,33.0,3.0,19.0
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,0.98,1.6,0.21399784776051212,0.02108631625012803,-0.11291596329323073,22.0,12.0,12.0,36.5,9.0,77.35042735042735,19.0,29.0,29.0,4.5,32.0
120844,Kotak Liquid Fund - Regular - Growth,6.18,6.18,0.6,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,37.0,2.0,32.0,3.0,2.0,76.41025641025642,4.0,39.0,9.0,38.0,39.0
149324,DSP Small Cap Fund - Regular - Growth,20.08,0.8,1.52,0.3005787817097677,0.011455159960520708,-0.31171900300634214,6.0,38.5,2.0,26.5,37.0,73.50427350427351,35.0,2.5,39.0,14.5,4.0
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,0.96,1.56,0.0780443887615508,0.01805687420811816,-0.24003511326274884,7.0,15.0,29.0,33.0,33.0,72.13675213675215,34.0,26.0,12.0,8.0,8.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,0.91,1.52,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,19.0,22.5,14.0,26.5,19.0,71.7948717948718,22.0,18.5,27.0,14.5,22.0
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,1.84,0.56,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,36.0,4.0,38.0,2.0,4.0,71.45299145299144,5.0,37.0,3.0,39.0,37.0
101207,ABSL Small Cap Fund - Regular - Growth,22.38,0.9,1.53,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,3.0,24.5,27.0,28.5,38.0,70.08547008547008,38.0,16.5,14.0,12.5,3.0
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,0.96,1.64,0.16211256794033255,0.016682689437770827,-0.21539827112383225,13.0,15.0,21.0,39.5,30.0,69.14529914529915,28.0,26.0,20.0,1.5,11.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,1.33,0.55,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,39.0,6.0,35.0,1.0,6.0,68.54700854700855,2.0,35.0,6.0,40.0,35.0
119094,Axis Midcap Fund - Regular - Growth,15.18,0.8,1.38,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,15.0,38.5,9.0,17.0,28.0,67.43589743589745,26.0,2.5,32.0,24.0,13.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,1.52,0.77,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,38.0,5.0,34.0,9.0,5.0,67.35042735042735,3.0,36.0,7.0,32.0,36.0
101208,ABSL Liquid Fund - Regular - Growth,5.14,5.14,0.79,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,40.0,3.0,33.0,11.0,3.0,67.35042735042734,1.0,38.0,8.0,30.0,38.0
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,0.81,1.53,0.1750072167561127,0.1034966369133759,-0.2334488614483311,5.0,35.5,18.0,28.5,32.0,66.83760683760683,36.0,5.5,23.0,12.5,9.0
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.88,0.72,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,27.0,26.5,22.0,5.5,26.0,63.07692307692307,14.0,14.5,19.0,35.5,15.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.06,1.55,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,16.0,7.5,39.0,32.0,34.0,62.64957264957265,25.0,33.5,2.0,9.0,7.0
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,0.88,1.54,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,26.0,26.5,10.0,30.5,17.0,62.564102564102555,15.0,14.5,31.0,10.5,24.0
118635,Nippon India ETF Nifty 50 BeES,11.77,0.91,0.89,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,32.0,22.5,23.0,13.0,10.0,62.30769230769231,9.0,18.5,18.0,28.0,31.0
119095,Axis Small Cap Fund - Regular - Growth,20.98,0.84,1.38,0.048015953637759554,-0.066951174639292,-0.5167775370852656,4.0,32.0,37.0,17.0,39.0,61.36752136752136,37.0,9.0,4.0,24.0,2.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.8,0.78,0.11989100971217971,0.009054412621739154,-0.21117279560132118,14.0,38.5,26.0,10.0,29.0,60.085470085470085,27.0,2.5,15.0,31.0,12.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,0.93,1.57,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,30.0,19.5,19.0,34.0,7.0,59.91452991452992,11.0,21.5,22.0,7.0,34.0
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,0.92,1.54,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,25.0,21.0,24.0,30.5,16.0,59.05982905982905,16.0,20.0,17.0,10.5,25.0
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.81,0.66,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,34.0,35.5,15.0,4.0,11.0,58.88888888888889,7.0,5.5,26.0,37.0,30.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,0.8,1.6,0.2827036785246582,0.018133884083859245,-0.1639674294693263,23.0,38.5,4.0,36.5,21.0,55.042735042735046,18.0,2.5,37.0,4.5,20.0
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.87,0.75,0.08232801295222093,0.02588321244009315,-0.21751396370148224,29.0,29.0,28.0,8.0,31.0,51.79487179487179,12.0,12.0,13.0,33.0,10.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,0.82,1.42,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,33.0,33.5,17.0,20.0,14.0,51.025641025641036,8.0,7.5,24.0,21.0,27.0
102886,UTI Mid Cap Fund - Regular - Growth,15.61,0.82,1.51,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,12.0,33.5,40.0,24.5,35.0,47.350427350427346,29.0,7.5,1.0,16.5,6.0
120841,Kotak Bluechip Fund - Regular - Growth,12.25,0.87,1.59,0.13042924450705445,0.036356399022199795,-0.1757361416468729,28.0,29.0,25.0,35.0,24.0,43.41880341880343,13.0,12.0,16.0,6.0,17.0
119092,Axis Bluechip Fund - Regular - Growth,11.84,0.85,1.64,0.0689952982167755,0.009730745001153637,-0.1440161790933726,31.0,31.0,30.0,39.5,15.0,35.98290598290598,10.0,10.0,11.0,1.5,26.0
